time,theta,omega,energy
6.100000,0.531953,2.905013,5.573730,16.884917
6.150000,0.670501,2.632114,5.585607,14.606428
6.200000,0.794096,2.307842,5.593958,12.195247
6.250000,0.900443,1.943047,5.599336,9.863809
6.300000,0.987769,1.547828,5.602456,7.791202
6.350000,1.054776,1.130986,5.604021,6.114673
6.400000,1.100569,0.699850,5.604625,4.930059
6.450000,1.124587,0.260439,5.604737,4.297006
6.500000,1.126546,-0.182145,5.604731,4.245034
6.550000,1.106403,-0.623188,5.604957,4.777588
6.600000,1.064360,-1.057777,5.605816,5.872523
6.650000,1.000877,-1.480240,5.607825,7.478841
6.700000,0.916731,-1.883683,5.611635,9.510756
6.750000,0.813079,-2.259730,5.617991,11.841580
6.800000,0.691533,-2.598556,5.627611,14.301132
6.850000,0.554226,-2.889295,5.640992,16.681043
6.900000,0.403838,-3.120856,5.658186,18.751424
6.950000,0.243586,-3.283088,5.678637,20.289365
7.000000,0.077140,-3.368091,5.701161,21.114892
7.050000,-0.091520,-3.371385,5.724131,21.125221
7.100000,-0.258290,-3.292638,5.745818,20.316383
7.150000,-0.419157,-3.135733,5.764772,18.784457
7.200000,-0.570393,-2.908145,5.780103,16.705860
7.250000,-0.708709,-2.619830,5.791565,14.303697
7.300000,-0.831344,-2.281891,5.799460,11.811081
7.350000,-0.936096,-1.905363,5.804429,9.441185
7.400000,-1.021288,-1.500307,5.807234,7.369149
7.450000,-1.085712,-1.075322,5.808587,5.725890
7.500000,-1.128552,-0.637454,5.809074,4.600447
7.550000,-1.149307,-0.192421,5.809142,4.046397
7.600000,-1.147744,0.254936,5.809149,4.088340
7.650000,-1.123858,0.700088,5.809438,4.725747
7.700000,-1.077880,1.138203,5.810423,5.932838
7.750000,-1.010302,1.563568,5.812644,7.654472
7.800000,-0.921935,1.969127,5.816790,9.799400
7.850000,-0.813982,2.346238,5.823648,12.233603
7.900000,-0.688116,2.684739,5.833962,14.777775
7.950000,-0.546547,2.973416,5.848222,17.213578
8.000000,-0.392051,3.200899,5.866429,19.302204
8.050000,-0.227948,3.356911,5.887929,20.815346
8.100000,-0.058013,3.433637,5.911419,21.573378
8.150000,0.113677,3.426924,5.935155,21.480553
8.200000,0.282946,3.336964,5.957338,20.545651
8.250000,0.445735,3.168278,5.976511,18.880469
8.300000,0.598305,2.928989,5.991830,16.676633
8.350000,0.737384,2.629595,6.003132,14.169021
8.400000,0.860254,2.281580,6.010804,11.597609
8.450000,0.964765,1.896170,6.015555,9.177636
8.500000,1.049303,1.483443,6.018186,7.082720
8.550000,1.112718,1.051886,6.019424,5.440271
8.600000,1.154242,0.608348,6.019851,4.335280
8.650000,1.173417,0.158319,6.019900,3.817697
8.700000,1.170034,-0.293588,6.019915,3.909376
8.750000,1.144108,-0.743031,6.020234,4.607908
8.800000,1.095879,-1.185303,6.021272,5.886145
8.850000,1.025844,-1.614735,6.023585,7.687471
8.900000,0.934820,-2.024221,6.027893,9.918313
8.950000,0.824020,-2.404966,6.035022,12.440768
9.000000,0.695139,-2.746563,6.045752,15.069661
9.050000,0.550421,-3.037493,6.060598,17.578949
9.100000,0.392691,-3.266069,6.079552,19.721256
9.150000,0.225334,-3.421743,6.101913,21.260577
9.200000,0.052203,-3.496554,6.126294,22.012538
9.250000,-0.122549,-3.486362,6.150857,21.881221
9.300000,-0.294671,-3.391553,6.173720,20.880232
9.350000,-0.460045,-3.216986,6.193379,19.130118
