time,theta,omega,energy
6.600000,1.064360,-1.057777,5.605816
6.650000,1.000877,-1.480240,5.607825
6.700000,0.916731,-1.883683,5.611635
6.750000,0.813079,-2.259730,5.617991
6.800000,0.691533,-2.598556,5.627611
6.850000,0.554226,-2.889295,5.640992
6.900000,0.403838,-3.120856,5.658186
6.950000,0.243586,-3.283088,5.678637
7.000000,0.077140,-3.368091,5.701161
7.050000,-0.091520,-3.371385,5.724131
7.100000,-0.258290,-3.292638,5.745818
7.150000,-0.419157,-3.135733,5.764772
7.200000,-0.570393,-2.908145,5.780103
7.250000,-0.708709,-2.619830,5.791565
7.300000,-0.831344,-2.281891,5.799460
7.350000,-0.936096,-1.905363,5.804429
7.400000,-1.021288,-1.500307,5.807234
7.450000,-1.085712,-1.075322,5.808587
7.500000,-1.128552,-0.637454,5.809074
7.550000,-1.149307,-0.192421,5.809142
7.600000,-1.147744,0.254936,5.809149
7.650000,-1.123858,0.700088,5.809438
7.700000,-1.077880,1.138203,5.810423
7.750000,-1.010302,1.563568,5.812644
7.800000,-0.921935,1.969127,5.816790
7.850000,-0.813982,2.346238,5.823648
7.900000,-0.688116,2.684739,5.833962
7.950000,-0.546547,2.973416,5.848222
8.000000,-0.392051,3.200899,5.866429
8.050000,-0.227948,3.356911,5.887929
8.100000,-0.058013,3.433637,5.911419
8.150000,0.113677,3.426924,5.935155
8.200000,0.282946,3.336964,5.957338
8.250000,0.445735,3.168278,5.976511
8.300000,0.598305,2.928989,5.991830
8.350000,0.737384,2.629595,6.003132
8.400000,0.860254,2.281580,6.010804
8.450000,0.964765,1.896170,6.015555
8.500000,1.049303,1.483443,6.018186
8.550000,1.112718,1.051886,6.019424
8.600000,1.154242,0.608348,6.019851
8.650000,1.173417,0.158319,6.019900
8.700000,1.170034,-0.293588,6.019915
8.750000,1.144108,-0.743031,6.020234
8.800000,1.095879,-1.185303,6.021272
8.850000,1.025844,-1.614735,6.023585
8.900000,0.934820,-2.024221,6.027893
8.950000,0.824020,-2.404966,6.035022
9.000000,0.695139,-2.746563,6.045752
9.050000,0.550421,-3.037493,6.060598
9.100000,0.392691,-3.266069,6.079552
9.150000,0.225334,-3.421743,6.101913
9.200000,0.052203,-3.496554,6.126294
9.250000,-0.122549,-3.486362,6.150857
9.300000,-0.294671,-3.391553,6.173720
9.350000,-0.460045,-3.216986,6.193379
9.400000,-0.614888,-2.971195,6.208991
